"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vdir6";"Vvit6";"Vdir9";"Vvit9";"Vdir12";"Vvit12";"Vdir15";"Vvit15";"Vdir18";"Vvit18";"Vx";"maxO3v"
"19950401";47.6;10.1;11.6;13.3;13.6;12.2;8;8;8;8;8;270;2;290;4;300;4;340;4;20;4;-3.4641;62.2
"19950402";56.2;9.5;9.4;13.8;17.4;16.3;8;8;7;0;0;100;2;160;2;180;3;110;1;350;2;0;47.6
"19950403";61.8;3.6;8;16.8;21.5;20.2;4;5;2;2;3;310;2;20;2;340;1;170;2;170;3;-0.342;56.2
"19950404";50.8;9.5;10.5;11.4;12.2;11.4;8;7;7;7;8;20;3;10;4;350;3;350;3;350;4;-0.5209;61.8
"19950405";59.8;9.8;10.8;13.8;14.3;13.3;8;7;8;8;7;330;2;340;2;280;1;320;3;350;4;-0.9848;50.8
"19950406";53.4;8.9;10.2;12.6;13.2;12.9;8;8;8;8;7;240;1;230;3;290;2;300;1;350;3;-1.8794;59.8
"19950407";49.4;11.2;11;13.3;14.9;12.5;8;8;8;7;7;320;1;350;2;350;1;330;5;360;5;-0.1736;53.4
"19950408";82.8;10;13.4;15.6;15.4;13.9;8;7;1;3;7;20;4;80;6;90;6;30;6;80;5;6;49.4
"19950409";76.8;3.7;8.3;12.3;13.9;13.2;2;4;3;5;5;70;3;90;6;90;4;80;5;80;4;4;82.8
"19950410";92.6;3.1;9.3;14.1;16.5;14.6;6;6;4;4;7;350;2;50;1;60;2;80;4;70;4;1.7321;76.8
"19950411";90.6;4.3;13.7;17;18.5;17.1;3;2;4;3;0;330;1;90;4;100;5;90;4;60;3;4.924;92.6
"19950412";104.6;4.8;12.9;18;18.9;16.3;1;1;1;0;0;340;1;30;2;60;5;20;6;40;7;4.3301;90.6
"19950413";71;5.9;10.9;13.3;15;13.6;1;1;1;1;1;30;5;70;9;60;7;30;8;60;6;6.0622;104.6
"19950414";66.6;6.5;10.5;14.1;15.6;13.1;0;1;1;2;4;20;4;30;6;20;6;20;6;350;5;2.0521;71
"19950415";93.8;7;8;13.6;14.1;10.9;8;7;7;7;8;330;3;310;3;330;5;350;6;10;7;-2.5;66.6
"19950416";87.2;7.1;9.1;11.3;12;10.5;7;7;6;5;5;350;2;10;3;350;5;340;7;330;5;-0.8682;93.8
"19950417";71.6;9.2;11.2;12;12.1;11.6;8;8;8;8;8;260;2;250;4;280;4;290;6;290;6;-3.9392;87.2
"19950418";72.4;10.7;12;12.3;10.4;9.8;8;8;8;8;7;250;7;240;8;250;7;320;3;320;6;-6.5778;71.6
"19950419";63.4;2.6;8.1;7.8;7;6.4;6;3;7;7;5;310;3;300;4;310;7;360;1;230;3;-5.3623;72.4
"19950420";62.2;-0.3;7.3;10.2;10.5;10.1;1;3;6;8;8;0;0;80;1;270;2;170;2;180;2;-2;63.4
"19950421";76.8;5.4;11.4;13;12.8;9.1;6;5;7;6;8;60;4;90;7;80;7;60;8;40;9;6.8937;62.2
"19950422";69.4;6.1;7.3;7.7;8.2;7.3;8;8;8;8;4;160;5;170;6;170;6;200;9;200;7;1.0419;76.8
"19950423";79.4;2.4;8.9;11.7;12.9;10.3;3;7;7;8;7;0;0;90;2;80;1;50;1;10;3;0.9848;69.4
"19950424";71.6;6.9;10.4;10.8;9.5;9.1;7;8;8;8;8;10;3;10;7;350;8;340;7;330;6;-1.3892;79.4
"19950425";77;8.3;9.2;10;10.2;9.7;8;8;8;8;8;300;6;310;6;310;6;300;7;290;4;-4.5963;71.6
"19950426";57.8;10.1;11.5;11.5;13.2;11.8;9;8;8;8;8;280;2;20;3;10;2;350;4;350;3;0.3473;77
"19950427";60.8;9.2;9.8;10.7;11.2;11.2;8;8;8;8;8;20;3;70;3;80;3;90;3;90;2;2.9544;57.8
"19950428";56.2;9.6;10.7;12.3;13.2;13.4;8;8;8;8;8;80;4;70;4;90;3;120;3;130;1;3;60.8
